Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-22 09:30:00-04:00,171.44349670410156,172.7899932861328,171.1999969482422,172.47999572753906,12440617,0.0,0.0
2025-08-22 09:35:00-04:00,172.4600067138672,173.5500030517578,172.4530029296875,173.43499755859375,4094404,0.0,0.0
2025-08-22 09:40:00-04:00,173.4250030517578,174.32000732421875,173.24000549316406,174.1999969482422,4026598,0.0,0.0
2025-08-22 09:45:00-04:00,174.19000244140625,174.90499877929688,174.0,174.85899353027344,3755689,0.0,0.0
2025-08-22 09:50:00-04:00,174.85000610351562,175.0500030517578,174.04010009765625,174.1300048828125,3521645,0.0,0.0
2025-08-22 09:55:00-04:00,174.15159606933594,174.27999877929688,173.5,173.75999450683594,3033017,0.0,0.0
2025-08-22 10:00:00-04:00,173.77499389648438,176.8000030517578,173.77499389648438,176.38999938964844,7332994,0.0,0.0
2025-08-22 10:05:00-04:00,176.44000244140625,177.58999633789062,176.1999969482422,177.44419860839844,5071559,0.0,0.0
2025-08-22 10:10:00-04:00,177.4499969482422,177.49000549316406,176.63999938964844,177.23500061035156,4009540,0.0,0.0
2025-08-22 10:15:00-04:00,177.22999572753906,177.86000061035156,176.94000244140625,177.1300048828125,4812548,0.0,0.0
2025-08-22 10:20:00-04:00,177.13999938964844,177.19000244140625,175.7949981689453,176.32000732421875,4281684,0.0,0.0
2025-08-22 10:25:00-04:00,176.35000610351562,176.92999267578125,175.91000366210938,176.32000732421875,3299597,0.0,0.0
2025-08-22 10:30:00-04:00,176.30499267578125,176.72799682617188,176.07000732421875,176.64999389648438,2465877,0.0,0.0
2025-08-22 10:35:00-04:00,176.65719604492188,177.30999755859375,176.6300048828125,176.9499969482422,2503455,0.0,0.0
2025-08-22 10:40:00-04:00,176.94000244140625,177.39999389648438,176.94000244140625,177.09500122070312,2244488,0.0,0.0
2025-08-22 10:45:00-04:00,177.08999633789062,177.49000549316406,176.8300018310547,176.85000610351562,2351736,0.0,0.0
2025-08-22 10:50:00-04:00,176.85000610351562,177.44000244140625,176.85000610351562,177.38499450683594,2117352,0.0,0.0
2025-08-22 10:55:00-04:00,177.38499450683594,177.82980346679688,177.22000122070312,177.4127960205078,2668363,0.0,0.0
2025-08-22 11:00:00-04:00,177.4149932861328,178.2899932861328,177.27499389648438,178.2799072265625,3290733,0.0,0.0
2025-08-22 11:05:00-04:00,178.27499389648438,178.3000030517578,177.7949981689453,177.88499450683594,2649067,0.0,0.0
2025-08-22 11:10:00-04:00,177.8800048828125,178.2657928466797,177.73500061035156,178.10499572753906,2046585,0.0,0.0
2025-08-22 11:15:00-04:00,178.10499572753906,178.22999572753906,177.97999572753906,178.0850067138672,1595372,0.0,0.0
2025-08-22 11:20:00-04:00,178.0749969482422,178.08999633789062,177.69500732421875,177.70140075683594,1855022,0.0,0.0
2025-08-22 11:25:00-04:00,177.7050018310547,178.16000366210938,177.6199951171875,178.1300048828125,1577274,0.0,0.0
2025-08-22 11:30:00-04:00,178.125,178.49000549316406,178.08999633789062,178.36000061035156,2031044,0.0,0.0
2025-08-22 11:35:00-04:00,178.35000610351562,178.58999633789062,178.02999877929688,178.16009521484375,1841276,0.0,0.0
2025-08-22 11:40:00-04:00,178.17999267578125,178.27999877929688,178.0749969482422,178.2449951171875,1286421,0.0,0.0
2025-08-22 11:45:00-04:00,178.25,178.4499969482422,177.8800048828125,177.9918975830078,1850229,0.0,0.0
2025-08-22 11:50:00-04:00,177.99000549316406,178.10000610351562,177.8300018310547,177.96009826660156,1212471,0.0,0.0
2025-08-22 11:55:00-04:00,177.97000122070312,178.10580444335938,177.75999450683594,177.79989624023438,1193315,0.0,0.0
2025-08-22 12:00:00-04:00,177.8000030517578,178.05990600585938,177.75990295410156,177.9250030517578,1252699,0.0,0.0
2025-08-22 12:05:00-04:00,177.9199981689453,177.95989990234375,177.52000427246094,177.5749969482422,1525833,0.0,0.0
2025-08-22 12:10:00-04:00,177.57000732421875,177.69000244140625,177.2100067138672,177.31500244140625,1515475,0.0,0.0
2025-08-22 12:15:00-04:00,177.31500244140625,177.39500427246094,176.89999389648438,177.125,3036119,0.0,0.0
2025-08-22 12:20:00-04:00,177.125,177.3300018310547,177.0115966796875,177.14999389648438,1459809,0.0,0.0
2025-08-22 12:25:00-04:00,177.14999389648438,177.1649932861328,176.8800048828125,177.00579833984375,1310916,0.0,0.0
2025-08-22 12:30:00-04:00,177.00999450683594,177.3000030517578,177.00010681152344,177.11500549316406,1079596,0.0,0.0
2025-08-22 12:35:00-04:00,177.11680603027344,177.35000610351562,177.11680603027344,177.2100067138672,1128496,0.0,0.0
2025-08-22 12:40:00-04:00,177.2100067138672,177.3000030517578,177.02499389648438,177.1885986328125,908983,0.0,0.0
2025-08-22 12:45:00-04:00,177.17999267578125,177.33999633789062,177.1417999267578,177.2758026123047,871462,0.0,0.0
2025-08-22 12:50:00-04:00,177.27999877929688,177.41000366210938,177.0500946044922,177.0749969482422,1174474,0.0,0.0
2025-08-22 12:55:00-04:00,177.0800018310547,177.22000122070312,176.88999938964844,177.2198944091797,1252153,0.0,0.0
2025-08-22 13:00:00-04:00,177.2100067138672,177.5399932861328,177.19000244140625,177.48500061035156,1249190,0.0,0.0
2025-08-22 13:05:00-04:00,177.48199462890625,177.74000549316406,177.4741973876953,177.72000122070312,1193760,0.0,0.0
2025-08-22 13:10:00-04:00,177.7281951904297,177.80999755859375,177.5500030517578,177.77499389648438,1210478,0.0,0.0
2025-08-22 13:15:00-04:00,177.77499389648438,177.9499969482422,177.7550048828125,177.92999267578125,930841,0.0,0.0
